---------------------------------------
Begin Slurm Prolog: Mar-14-2026 01:36:44
Job ID:    4932660
User ID:   dfu71
Account:   gts-yke8
Job name:  wnn_cont
Partition: gpu-rtx6000
QOS:       inferno
---------------------------------------
=== Continuous State Experiment (obj-008) ===
Date: Sat Mar 14 01:36:46 AM EDT 2026
Host: atl1-1-02-005-35-0.pace.gatech.edu
GPU: Quadro RTX 6000

Device: cuda
Total configs: 180
  [81/180] noise=0.5, lat=1, embed=4, seed=456  -> dist=0.179
  [82/180] noise=0.5, lat=1, embed=8, seed=42  -> dist=0.180
  [83/180] noise=0.5, lat=1, embed=8, seed=123  -> dist=0.166
  [84/180] noise=0.5, lat=1, embed=8, seed=456  -> dist=0.181
  [85/180] noise=0.5, lat=2, embed=1, seed=42  -> dist=0.529
  [86/180] noise=0.5, lat=2, embed=1, seed=123  -> dist=0.360
  [87/180] noise=0.5, lat=2, embed=1, seed=456  -> dist=0.173
  [88/180] noise=0.5, lat=2, embed=2, seed=42  -> dist=0.529
  [89/180] noise=0.5, lat=2, embed=2, seed=123  -> dist=0.361
  [90/180] noise=0.5, lat=2, embed=2, seed=456  -> dist=0.172
  [91/180] noise=0.5, lat=2, embed=4, seed=42  -> dist=0.528
  [92/180] noise=0.5, lat=2, embed=4, seed=123  -> dist=0.360
  [93/180] noise=0.5, lat=2, embed=4, seed=456  -> dist=0.171
  [94/180] noise=0.5, lat=2, embed=8, seed=42  -> dist=0.523
  [95/180] noise=0.5, lat=2, embed=8, seed=123  -> dist=0.358
  [96/180] noise=0.5, lat=2, embed=8, seed=456  -> dist=0.170
  [97/180] noise=0.5, lat=4, embed=1, seed=42  -> dist=0.185
  [98/180] noise=0.5, lat=4, embed=1, seed=123  -> dist=0.177
  [99/180] noise=0.5, lat=4, embed=1, seed=456  -> dist=0.179
  [100/180] noise=0.5, lat=4, embed=2, seed=42  -> dist=0.186
  [101/180] noise=0.5, lat=4, embed=2, seed=123  -> dist=0.176
  [102/180] noise=0.5, lat=4, embed=2, seed=456  -> dist=0.179
  [103/180] noise=0.5, lat=4, embed=4, seed=42  -> dist=0.187
  [104/180] noise=0.5, lat=4, embed=4, seed=123  -> dist=0.176
  [105/180] noise=0.5, lat=4, embed=4, seed=456  -> dist=0.179
  [106/180] noise=0.5, lat=4, embed=8, seed=42  -> dist=0.187
  [107/180] noise=0.5, lat=4, embed=8, seed=123  -> dist=0.173
  [108/180] noise=0.5, lat=4, embed=8, seed=456  -> dist=0.171
  [109/180] noise=1.0, lat=1, embed=1, seed=42  -> dist=0.178
  [110/180] noise=1.0, lat=1, embed=1, seed=123  -> dist=0.161
  [111/180] noise=1.0, lat=1, embed=1, seed=456  -> dist=0.182
  [112/180] noise=1.0, lat=1, embed=2, seed=42  -> dist=0.178
  [113/180] noise=1.0, lat=1, embed=2, seed=123  -> dist=0.162
  [114/180] noise=1.0, lat=1, embed=2, seed=456  -> dist=0.183
  [115/180] noise=1.0, lat=1, embed=4, seed=42  -> dist=0.180
  [116/180] noise=1.0, lat=1, embed=4, seed=123  -> dist=0.164
  [117/180] noise=1.0, lat=1, embed=4, seed=456  -> dist=0.181
  [118/180] noise=1.0, lat=1, embed=8, seed=42  -> dist=0.180
  [119/180] noise=1.0, lat=1, embed=8, seed=123  -> dist=0.165
  [120/180] noise=1.0, lat=1, embed=8, seed=456  -> dist=0.183
  [121/180] noise=1.0, lat=2, embed=1, seed=42  -> dist=0.529
  [122/180] noise=1.0, lat=2, embed=1, seed=123  -> dist=0.360
  [123/180] noise=1.0, lat=2, embed=1, seed=456  -> dist=0.172
  [124/180] noise=1.0, lat=2, embed=2, seed=42  -> dist=0.530
  [125/180] noise=1.0, lat=2, embed=2, seed=123  -> dist=0.360
  [126/180] noise=1.0, lat=2, embed=2, seed=456  -> dist=0.172
  [127/180] noise=1.0, lat=2, embed=4, seed=42  -> dist=0.528
  [128/180] noise=1.0, lat=2, embed=4, seed=123  -> dist=0.360
  [129/180] noise=1.0, lat=2, embed=4, seed=456  -> dist=0.171
  [130/180] noise=1.0, lat=2, embed=8, seed=42  -> dist=0.523
  [131/180] noise=1.0, lat=2, embed=8, seed=123  -> dist=0.358
  [132/180] noise=1.0, lat=2, embed=8, seed=456  -> dist=0.169
  [133/180] noise=1.0, lat=4, embed=1, seed=42  -> dist=0.185
  [134/180] noise=1.0, lat=4, embed=1, seed=123  -> dist=0.177
  [135/180] noise=1.0, lat=4, embed=1, seed=456  -> dist=0.181
  [136/180] noise=1.0, lat=4, embed=2, seed=42  -> dist=0.186
  [137/180] noise=1.0, lat=4, embed=2, seed=123  -> dist=0.176
  [138/180] noise=1.0, lat=4, embed=2, seed=456  -> dist=0.182
  [139/180] noise=1.0, lat=4, embed=4, seed=42  -> dist=0.187
  [140/180] noise=1.0, lat=4, embed=4, seed=123  -> dist=0.176
  [141/180] noise=1.0, lat=4, embed=4, seed=456  -> dist=0.183
  [142/180] noise=1.0, lat=4, embed=8, seed=42  -> dist=0.187
  [143/180] noise=1.0, lat=4, embed=8, seed=123  -> dist=0.173
  [144/180] noise=1.0, lat=4, embed=8, seed=456  -> dist=0.179
  [145/180] noise=2.0, lat=1, embed=1, seed=42  -> dist=0.178
  [146/180] noise=2.0, lat=1, embed=1, seed=123  -> dist=0.161
  [147/180] noise=2.0, lat=1, embed=1, seed=456  -> dist=0.183
  [148/180] noise=2.0, lat=1, embed=2, seed=42  -> dist=0.178
  [149/180] noise=2.0, lat=1, embed=2, seed=123  -> dist=0.162
  [150/180] noise=2.0, lat=1, embed=2, seed=456  -> dist=0.183
  [151/180] noise=2.0, lat=1, embed=4, seed=42  -> dist=0.179
  [152/180] noise=2.0, lat=1, embed=4, seed=123  -> dist=0.164
  [153/180] noise=2.0, lat=1, embed=4, seed=456  -> dist=0.182
  [154/180] noise=2.0, lat=1, embed=8, seed=42  -> dist=0.179
  [155/180] noise=2.0, lat=1, embed=8, seed=123  -> dist=0.166
  [156/180] noise=2.0, lat=1, embed=8, seed=456  -> dist=0.184
  [157/180] noise=2.0, lat=2, embed=1, seed=42  -> dist=0.528
  [158/180] noise=2.0, lat=2, embed=1, seed=123  -> dist=0.360
  [159/180] noise=2.0, lat=2, embed=1, seed=456  -> dist=0.172
  [160/180] noise=2.0, lat=2, embed=2, seed=42  -> dist=0.529
  [161/180] noise=2.0, lat=2, embed=2, seed=123  -> dist=0.360
  [162/180] noise=2.0, lat=2, embed=2, seed=456  -> dist=0.172
  [163/180] noise=2.0, lat=2, embed=4, seed=42  -> dist=0.528
  [164/180] noise=2.0, lat=2, embed=4, seed=123  -> dist=0.361
  [165/180] noise=2.0, lat=2, embed=4, seed=456  -> dist=0.171
  [166/180] noise=2.0, lat=2, embed=8, seed=42  -> dist=0.524
  [167/180] noise=2.0, lat=2, embed=8, seed=123  -> dist=0.358
  [168/180] noise=2.0, lat=2, embed=8, seed=456  -> dist=0.171
  [169/180] noise=2.0, lat=4, embed=1, seed=42  -> dist=0.185
  [170/180] noise=2.0, lat=4, embed=1, seed=123  -> dist=0.177
  [171/180] noise=2.0, lat=4, embed=1, seed=456  -> dist=0.183
  [172/180] noise=2.0, lat=4, embed=2, seed=42  -> dist=0.186
  [173/180] noise=2.0, lat=4, embed=2, seed=123  -> dist=0.176
  [174/180] noise=2.0, lat=4, embed=2, seed=456  -> dist=0.183
  [175/180] noise=2.0, lat=4, embed=4, seed=42  -> dist=0.187
  [176/180] noise=2.0, lat=4, embed=4, seed=123  -> dist=0.176
  [177/180] noise=2.0, lat=4, embed=4, seed=456  -> dist=0.184
  [178/180] noise=2.0, lat=4, embed=8, seed=42  -> dist=0.188
  [179/180] noise=2.0, lat=4, embed=8, seed=123  -> dist=0.173
  [180/180] noise=2.0, lat=4, embed=8, seed=456  -> dist=0.181
Saved results/continuous_state.png

=== Done: Sat Mar 14 06:28:58 AM EDT 2026 ===
---------------------------------------
Begin Slurm Epilog: Mar-14-2026 06:28:58
Job ID:        4932660
User ID:       dfu71
Account:       gts-yke8
Job name:      wnn_cont
Resources:     cpu=6,gres/gpu:rtx_6000=1,mem=16G,node=1
Rsrc Used:     cput=1-05:13:30,vmem=0,walltime=04:52:15,mem=1587124K,energy_used=0
Partition:     gpu-rtx6000
QOS:           inferno
Nodes:         atl1-1-02-005-35-0
---------------------------------------
